id;invoice_number;emission_date;total_amount;state;client
INV-955694;A-0001-00001001;22/02/2025;20.50;pending;Tecnología S.A.
INV-239518;A-0001-00001002;18/03/2025;20.50;pending;Tecnología S.A.
INV-305838;A-0001-00001003;20/02/2025;28.08;pending;Servicios Globales
INV-414627;A-0001-00001004;20/02/2025;24.00;pending;Innovaciones Web
INV-823421;A-0001-00001005;18/03/2025;24.00;pending;Innovaciones Web
INV-675833;B-0001-00001006;18/02/2025;24.00;pending;Innovaciones Web
INV-983606;B-0001-00001007;03/02/2025;18.75;paid;Consultores Asoc.
INV-329758;A-0001-00001008;25/02/2025;22.10;pending;Distribuidora Norte
INV-859497;A-0001-00001009;11/01/2025;22.10;pending;Distribuidora Norte
INV-501866;B-0001-00001010;13/03/2025;16.50;paid;Importadora Sur
INV-506674;A-0001-00001011;16/02/2025;19.90;paid;Logística Express
INV-667180;A-0001-00001012;01/02/2025;25.00;pending;Retail Group
INV-684056;B-0001-00001013;21/03/2025;25.00;pending;Retail Group
INV-790583;B-0001-00001014;15/02/2025;17.25;paid;Construcciones SA
INV-959943;A-0001-00001015;04/03/2025;21.80;pending;Agencia Digital
INV-443807;A-0001-00001016;24/03/2025;21.80;pending;Agencia Digital
INV-627735;B-0001-00001017;02/01/2025;38.09;pending;Alimentos Frescos
INV-187385;A-0001-00001018;17/01/2025;23.40;pending;Textiles Modernos
INV-102375;A-0001-00001019;05/03/2025;23.40;pending;Textiles Modernos
INV-259527;A-0001-00001020;13/02/2025;18.00;paid;Automotriz Lider
INV-271203;B-0001-00001021;04/01/2025;20.00;paid;Farmacias Unidas
INV-100297;A-0001-00001022;24/01/2025;40.21;pending;Supermercados X
INV-205427;A-0001-00001023;03/01/2025;24.50;pending;Hoteles Sol
INV-495764;A-0001-00001024;29/01/2025;24.50;pending;Hoteles Sol
INV-683690;A-0001-00001025;30/03/2025;24.50;pending;Hoteles Sol
INV-375480;B-0001-00001026;07/02/2025;19.25;paid;Viajes Mundo
INV-393350;A-0001-00001027;13/01/2025;22.60;pending;Seguros Confianza
INV-938681;A-0001-00001028;15/02/2025;22.60;pending;Seguros Confianza
INV-504232;A-0001-00001029;16/01/2025;15.90;paid;Bienes Raíces
INV-594903;B-0001-00001030;18/02/2025;21.15;paid;Educación Futuro
INV-703639;A-0001-00001031;29/03/2025;17.80;paid;Salud Integral
INV-509385;A-0001-00001032;27/02/2025;23.90;pending;Energía Verde
INV-604887;B-0001-00001033;20/02/2025;23.90;pending;Energía Verde
INV-169133;B-0001-00001034;16/02/2025;16.20;paid;Transportes Rapidos
INV-899743;A-0001-00001035;12/03/2025;27.78;pending;Muebles Estilo
INV-806180;A-0001-00001036;02/01/2025;41.00;pending;Computación Avanzada
INV-571020;A-0001-00001037;28/02/2025;24.25;pending;Librerías Central
INV-864325;A-0001-00001038;27/03/2025;24.25;pending;Librerías Central
INV-231520;B-0001-00001039;23/03/2025;15.60;paid;Deportes Total
INV-394829;A-0001-00001040;22/01/2025;22.80;paid;Juguetes Felices
INV-171667;A-0001-00001041;09/03/2025;19.60;paid;Ropa Urbana
INV-556993;B-0001-00001042;01/03/2025;49.72;pending;Calzado Paso
INV-715772;A-0001-00001043;12/01/2025;52.42;pending;Accesorios Moda
INV-229638;A-0001-00001044;11/01/2025;23.20;paid;Hogar Dulce
INV-747547;B-0001-00001045;21/02/2025;17.40;paid;Jardines Verdes
INV-346172;A-0001-00001046;07/01/2025;47.72;pending;Mascotas Felices
INV-217144;A-0001-00001047;16/01/2025;15.75;paid;Eventos Top
INV-164960;B-0001-00001048;04/01/2025;24.80;paid;Catering Gourmet
INV-294892;A-0001-00001049;16/03/2025;18.90;paid;Limpieza Pro
INV-755379;A-0001-00001050;11/03/2025;21.30;paid;Seguridad Total
INV-446227;B-0001-00001051;07/03/2025;16.10;paid;Mensajería Rapida
INV-200842;A-0001-00001052;28/02/2025;22.40;paid;Call Center
